"name"	"description"	"enable"	"dir"	"profile"	"group"	"localip"	"remoteip"	"protocol"	"type:code[,...]"	"localport"	"remoteport"	"edge"	"program"	"service"	"interfacetype"	"rmtcomputergrp"	"rmtusrgrp"	"security"	"(rule_source)"	"action"
"""Wi-Fi Direct ネットワーク探索 (送信)"""	"""Wi-Fi Direct ネットワークで WSD デバイスを探索するための送信規則です。"""	"""yes"""	"""out"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\dashost.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (DCOM 受信)"""	"""リモート Windows Management Instrumentation の DCOM トラフィックを許可するための受信規則です。 [TCP 135]"""	"""no"""	"""in"""	"""domain"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""any"""	"""tcp"""	""""""	"""135"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""rpcss"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (DCOM 受信)"""	"""リモート Windows Management Instrumentation の DCOM トラフィックを許可するための受信規則です。 [TCP 135]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""135"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""rpcss"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (WMI 受信)"""	"""リモート Windows Management Instrumentation の WMI トラフィックを許可するための受信規則です。 [TCP]"""	"""no"""	"""in"""	"""domain"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""winmgmt"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (WMI 受信)"""	"""リモート Windows Management Instrumentation の WMI トラフィックを許可するための受信規則です。 [TCP]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""winmgmt"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (WMI 送信)"""	"""リモート Windows Management Instrumentation の WMI トラフィックを許可するための送信規則です。 [TCP]"""	"""no"""	"""out"""	"""domain"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""winmgmt"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (WMI 送信)"""	"""リモート Windows Management Instrumentation の WMI トラフィックを許可するための送信規則です。 [TCP]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""winmgmt"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (非同期受信)"""	"""リモート Windows Management Instrumentation の非同期 WMI トラフィックを許可するための受信規則です。 [TCP]"""	"""no"""	"""in"""	"""domain"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%systemroot%""\\system32\\wbem\\unsecapp.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Management Instrumentation (非同期受信)"""	"""リモート Windows Management Instrumentation の非同期 WMI トラフィックを許可するための受信規則です。 [TCP]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Management Instrumentation (WMI)"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%systemroot%""\\system32\\wbem\\unsecapp.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player (TCP 送信)"""	"""TCP/HTTP Media ストリーミングを許可するための Windows Media Player の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player (UDP 受信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の受信規則です。[UDP]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player (UDP 送信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の送信規則です。[UDP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player x86 (TCP 送信)"""	"""TCP/HTTP Media ストリーミングを許可するための Windows Media Player の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles(x86)%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player x86 (UDP 受信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の受信規則です。[UDP]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles(x86)%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player x86 (UDP 送信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の送信規則です。[UDP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%ProgramFiles(x86)%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)"""	"""HTTP Media ストリーミングを許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 10243]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""10243"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)"""	"""HTTP Media ストリーミングを許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 10245]"""	"""no"""	"""in"""	"""domain,private"""	"""Windows Media Player ネットワーク共有サービス (インターネット)"""	"""any"""	"""any"""	"""tcp"""	""""""	"""10245"""	"""any"""	"""deferapp"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)"""	"""HTTP Media ストリーミングを許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 10243]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""10243"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (HTTP ストリーミング送信)"""	"""HTTP Media ストリーミングを許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP 10243]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""10243"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (HTTP ストリーミング送信)"""	"""HTTP Media ストリーミングを許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP 10243]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""10243"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave TCP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 2177]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave TCP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 2177]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave TCP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP 2177]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave TCP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP 2177]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave UDP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[UDP 2177]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave UDP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[UDP 2177]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave UDP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[UDP 2177]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (qWave UDP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[UDP 2177]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (SSDP 受信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[UDP 1900]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""1900"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (SSDP 送信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[UDP 1900]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""1900"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (TCP 受信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (TCP 受信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (TCP 送信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (TCP 送信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UDP 受信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[UDP]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UDP 受信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[UDP]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UDP 送信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[UDP]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UDP 送信)"""	"""トラフィックの共有を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[UDP]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmpnetwk.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UPnP 受信)"""	"""ユニバーサル プラグ アンド プレイの使用を許可するための Windows Media Player ネットワーク共有サービスの受信規則です。[TCP 2869]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""2869"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UPnP 送信)"""	"""ユニバーサル プラグ アンド プレイの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。[TCP 2869]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (UPnPHost 送信)"""	"""ユニバーサル プラグ アンド プレイの使用を許可するための Windows Media Player ネットワーク共有サービスの送信規則です。 [TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""upnphost"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信)"""	"""TCP/HTTP Media ストリーミングを許可するための Windows Media Player の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信)"""	"""TCP/HTTP Media ストリーミングを許可するための Windows Media Player の送信規則です。[TCP]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の受信規則です。[UDP]"""	"""no"""	"""in"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の受信規則です。[UDP]"""	"""no"""	"""in"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の送信規則です。[UDP]"""	"""no"""	"""out"""	"""domain"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信)"""	"""UDP Media ストリーミングを許可するための Windows Media Player の送信規則です。[UDP]"""	"""no"""	"""out"""	"""private,public"""	"""Windows Media Player ネットワーク共有サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%PROGRAMFILES%""\\Windows Media Player\\wmplayer.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows グループ作業ツール コンピューター名の登録サービス (PNRP 受信)"""	"""ピア名解決を許可するための Windows グループ作業ツール コンピューター名の登録サービスの受信規則です。 [UDP 3540]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows グループ作業ツール コンピューター名の登録サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""3540"""	"""any"""	"""deferapp"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""PNRPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows グループ作業ツール コンピューター名の登録サービス (PNRP 送信)"""	"""ピア名解決を許可するための Windows グループ作業ツール コンピューター名の登録サービスの送信規則です。[UDP 3540]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows グループ作業ツール コンピューター名の登録サービス"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""3540"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""PNRPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows グループ作業ツール コンピューター名の登録サービス (SSDP 受信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows グループ作業ツール コンピューター名の登録サービスの受信規則です。 [UDP 1900]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows グループ作業ツール コンピューター名の登録サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""1900"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows グループ作業ツール コンピューター名の登録サービス (SSDP 送信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows グループ作業ツール コンピューター名の登録サービスの送信規則です。 [UDP 1900]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows グループ作業ツール コンピューター名の登録サービス"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""1900"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows ピア ツー ピア共同作業ファンデーション (PNRP 受信)"""	"""ピア名解決を許可するための Windows ピア ツー ピア共同作業ファンデーションの受信規則です。[UDP 3540]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows ピア ツー ピア共同作業ファンデーション"""	"""any"""	"""any"""	"""udp"""	""""""	"""3540"""	"""any"""	"""deferapp"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""PNRPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows ピア ツー ピア共同作業ファンデーション (PNRP 送信)"""	"""ピア名解決を許可するための Windows ピア ツー ピア共同作業ファンデーションの送信規則です。[UDP 3540]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows ピア ツー ピア共同作業ファンデーション"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""3540"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""PNRPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows ピア ツー ピア共同作業ファンデーション (SSDP 受信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows ピア ツー ピア共同作業ファンデーションの受信規則です。[UDP 1900]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows ピア ツー ピア共同作業ファンデーション"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""1900"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows ピア ツー ピア共同作業ファンデーション (SSDP 送信)"""	"""Simple Service Discovery Protocol の使用を許可するための Windows ピア ツー ピア共同作業ファンデーションの送信規則です。[UDP 1900]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Windows ピア ツー ピア共同作業ファンデーション"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""1900"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Windows ピア ツー ピア共同作業ファンデーション (TCP 受信)"""	"""ピア ツー ピア通信のための Windows ピア ツー ピア共同作業ファンデーションの受信規則です。[TCP]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Windows ピア ツー ピア共同作業ファンデーション"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""deferapp"""	"%SystemRoot%""\\system32\\p2phost.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
